origination_year,loan_age_months,credit_tier,fico_score,vantage_score,payment_history_score,credit_history_length_years,num_open_tradelines,num_hard_inquiries_6mo,num_derog_marks,num_collections,bankruptcy_history,prev_auto_loan_delinquency_count,months_since_last_delinquency,annual_income,monthly_income,employment_type,employment_length_years,num_income_sources,loan_amount,loan_term_months,interest_rate_pct,monthly_payment,down_payment_amount,down_payment_pct,current_balance,vehicle_type,vehicle_condition,vehicle_age_at_origination,vehicle_mileage_at_origination,vehicle_value_at_origination,current_vehicle_value,ltv_ratio_origination,current_ltv_ratio,is_underwater,dti_ratio,total_dti_ratio,payment_to_income_ratio,loan_burden_score,times_30_dpd_last_12mo,times_60_dpd_last_12mo,times_90_dpd_ever,max_days_past_due_ever,consecutive_on_time_payments,payment_ratio_actual_vs_required,lender_type,loan_channel,dealer_markup_rate,has_gap_insurance,has_payment_protection,insurance_lapse_indicator,state,state_unemployment_rate,regional_used_car_price_index,origination_rate_environment,is_delinquent_30dpd,is_delinquent
2020,58,Prime,694,683,82.4,11,9,1,1,1,0,0,,93450,7787.5,Full-time Salaried,2,2,45928,60,4.9,864.62,17604,0.29,32546.25,Truck,New,0,0,60705,31566,0.757,1.031,1,0.111,0.328,0.111,32.43,0,0,0,60,20,0.913,Bank,Direct,0.0,0,1,0,FL,4.0,128.4,4.26,0,0
2021,37,Near Prime,646,623,95.7,12,8,1,0,0,0,0,,54215,4517.92,Full-time Salaried,3,2,38821,60,9.81,821.21,11957,0.23,34975.38,Truck,New,0,0,51987,33271,0.747,1.051,1,0.182,0.296,0.182,30.98,3,0,2,0,15,0.875,Credit Union,Dealer,1.09,1,0,0,CA,7.4,97.0,5.54,1,1
2017,88,Subprime,605,588,86.1,14,6,0,1,0,0,1,70.0,44378,3698.17,Contract/Gig,1,2,100000,60,11.13,2180.73,37968,0.28,41294.33,Luxury,New,0,0,135602,27120,0.737,1.523,1,0.59,0.99,0.59,49.88,0,0,0,60,35,1.106,Captive (OEM),Direct,0.0,0,0,0,GA,3.0,90.4,3.99,0,0
2022,27,Prime,703,710,100.0,15,6,0,0,0,0,1,28.0,69189,5765.75,Full-time Salaried,1,1,5681,36,4.2,168.23,1691,0.23,4239.78,SUV,Certified Pre-Owned,7,90083,7353,7353,0.773,0.577,0,0.029,0.083,0.029,24.35,1,1,0,120,6,1.004,Credit Union,Dealer,2.25,1,0,0,PA,5.9,87.5,4.83,0,0
2016,102,Deep Subprime,522,548,86.7,1,11,4,0,0,0,0,,28880,2406.67,Full-time Salaried,3,1,27109,24,17.05,1340.98,7520,0.21,15808.8,SUV,New,0,0,35814,7162,0.757,2.207,1,0.557,0.99,0.557,48.98,3,0,0,60,8,0.806,Credit Union,Dealer,1.91,1,0,0,PA,5.3,132.2,6.88,1,1
2016,98,Super Prime,816,821,92.3,15,9,1,1,0,0,0,,132577,11048.08,Retired,0,1,44670,48,3.52,999.04,4038,0.09,33299.01,Truck,New,0,0,44870,8974,0.996,3.711,1,0.09,0.252,0.09,35.79,0,0,0,0,33,0.767,Bank,Direct,0.0,1,0,0,FL,6.7,125.3,3.74,0,0
2018,82,Super Prime,757,785,88.1,7,1,0,1,0,0,0,,252591,21049.25,Retired,0,2,39359,72,8.47,699.16,14304,0.28,16099.54,Luxury,Certified Pre-Owned,2,28424,51086,15964,0.77,1.008,1,0.033,0.105,0.033,27.99,0,0,0,0,24,1.092,Bank,Dealer,0.34,1,1,0,PA,6.5,96.1,6.21,0,0
2018,78,Near Prime,628,642,100.0,16,8,0,0,0,0,0,,52602,4383.5,Full-time Salaried,1,2,33992,72,10.48,637.99,9146,0.21,24294.94,Electric,New,0,0,43555,8711,0.78,2.789,1,0.146,0.505,0.146,29.24,0,0,0,30,29,0.874,Bank,Online,0.0,0,0,0,OH,6.7,107.4,6.04,0,0
2020,55,Super Prime,836,810,100.0,8,18,0,0,0,0,0,,124116,10343.0,Full-time Hourly,4,3,5497,48,5.38,127.54,1574,0.22,3927.18,Coupe,Used,12,104064,7156,7156,0.768,0.549,0,0.012,0.031,0.012,23.52,0,0,0,0,34,0.937,Bank,Dealer,1.35,0,0,0,TX,6.5,100.7,4.81,0,0
2023,19,Subprime,613,642,61.1,14,2,0,5,0,0,0,,28445,2370.42,Full-time Salaried,5,1,30950,24,14.66,1495.67,1196,0.04,18342.03,Sedan,New,0,0,29904,25418,1.035,0.722,0,0.631,0.99,0.631,67.96,2,0,1,30,6,0.764,Fintech,Dealer,1.82,1,1,1,CA,8.5,131.8,5.25,0,0
2022,28,Super Prime,751,738,95.5,15,12,1,1,0,0,1,61.0,94084,7840.33,Contract/Gig,4,2,14090,84,2.61,183.71,4562,0.26,10779.59,Luxury,Certified Pre-Owned,11,124685,17548,17548,0.803,0.614,0,0.023,0.043,0.023,26.36,0,0,0,0,10,0.781,Fintech,Dealer,0.63,1,1,0,TX,7.9,98.7,3.42,0,0
2016,107,Near Prime,654,674,75.3,20,17,1,2,0,0,0,,60296,5024.67,Full-time Salaried,1,2,7275,36,11.16,238.73,303,0.04,4971.58,Coupe,Used,6,61092,7575,7575,0.96,0.656,0,0.048,0.079,0.048,38.13,1,0,1,90,10,1.015,Fintech,Dealer,1.93,0,0,0,TX,6.8,96.6,7.56,1,1
2024,3,Prime,708,687,84.1,7,5,2,0,3,0,0,,72128,6010.67,Full-time Salaried,4,2,31176,72,8.86,559.8,2788,0.08,11735.97,SUV,Used,3,33474,34862,34862,0.894,0.337,0,0.093,0.155,0.093,35.31,0,0,0,0,3,0.753,Captive (OEM),Online,0.0,0,1,0,GA,5.5,123.4,6.15,0,0
2017,94,Super Prime,808,817,86.1,11,1,2,1,0,0,3,36.0,172599,14383.25,Self-employed,5,2,12223,84,1.9,155.52,1934,0.14,6054.22,SUV,Used,11,139953,13821,13821,0.884,0.438,0,0.011,0.037,0.011,31.13,0,0,0,0,27,0.957,Credit Union,Dealer,0.23,0,0,0,CA,5.6,112.9,4.65,1,1
2022,33,Super Prime,830,841,84.5,17,9,4,0,1,0,1,42.0,242044,20170.33,Self-employed,3,1,13105,36,2.41,377.71,3234,0.21,11015.48,Luxury,Used,7,81823,15404,15404,0.851,0.715,0,0.019,0.033,0.019,30.94,0,0,1,60,6,0.869,Non-Captive Finance Co.,Dealer,1.15,0,0,0,AZ,6.0,133.9,7.71,0,0
2019,68,Deep Subprime,347,371,74.2,9,15,1,0,0,1,0,,29727,2477.25,Self-employed,3,1,50734,36,18.59,1849.21,6404,0.12,40068.42,SUV,Used,2,18678,53368,14423,0.951,2.778,1,0.746,0.99,0.746,66.11,0,0,1,0,7,1.049,Non-Captive Finance Co.,Direct,0.0,1,0,0,MI,4.2,102.0,6.7,1,1
2017,86,Super Prime,815,821,96.4,16,16,1,0,2,0,0,,143504,11958.67,Full-time Salaried,3,1,5882,72,5.32,95.6,1131,0.17,5557.26,SUV,Used,7,78568,6656,6656,0.884,0.835,0,0.008,0.024,0.008,27.92,1,0,2,90,31,1.171,Bank,Online,0.0,1,1,1,CA,6.4,119.1,5.06,0,0
2024,11,Subprime,592,604,100.0,14,5,0,0,0,0,1,2.0,32299,2691.58,Retired,0,2,27208,24,15.66,1327.77,9483,0.27,9490.16,SUV,Used,1,9548,35123,35123,0.775,0.27,0,0.493,0.99,0.493,42.97,0,0,0,0,6,1.003,Bank,Dealer,2.18,0,0,1,MO,7.2,110.1,3.21,1,1
2015,110,Subprime,603,626,39.4,16,17,2,2,1,1,0,,46757,3896.42,Full-time Hourly,1,2,24669,60,14.78,584.03,944,0.04,8167.46,Sedan,Used,3,28647,23613,8586,1.045,0.951,0,0.15,0.314,0.15,55.53,1,2,0,0,36,1.002,Non-Captive Finance Co.,Dealer,0.32,0,0,0,TN,3.1,134.9,8.17,0,0
2017,87,Near Prime,652,635,95.0,6,8,1,0,1,0,0,,69161,5763.42,Retired,0,1,11119,48,11.28,288.89,215,0.02,3642.68,Coupe,Used,7,69832,10768,10768,1.033,0.338,0,0.05,0.132,0.05,34.49,0,0,0,120,12,1.088,Bank,Online,0.0,1,1,0,MN,7.8,130.7,5.17,0,0
2023,14,Super Prime,799,815,61.1,8,10,0,4,1,0,0,,185348,15445.67,Self-employed,4,1,54408,84,1.9,692.25,1152,0.02,28647.61,SUV,New,0,0,57605,50116,0.945,0.572,0,0.045,0.144,0.045,41.82,0,0,0,0,0,1.161,Bank,Direct,0.0,1,0,0,AZ,3.4,103.7,6.17,0,0
2016,98,Super Prime,821,818,96.2,2,12,3,0,1,0,0,,286739,23894.92,Full-time Hourly,1,2,27995,72,1.9,411.71,3513,0.11,24777.88,Truck,Used,2,23170,31938,8404,0.877,2.948,1,0.017,0.026,0.017,28.13,1,0,0,0,23,0.909,Bank,Dealer,1.65,0,1,1,NY,4.0,117.3,6.61,0,0
2019,65,Prime,677,680,89.8,10,17,0,2,1,0,0,,64563,5380.25,Retired,0,1,57224,84,6.81,858.36,5803,0.1,21411.59,SUV,New,0,0,58034,20311,0.986,1.054,1,0.16,0.316,0.16,39.04,2,0,2,15,21,1.121,Captive (OEM),Dealer,1.95,0,1,0,NY,7.4,134.3,5.4,1,1
2022,31,Subprime,608,592,88.0,2,7,1,0,1,0,0,,50868,4239.0,Contract/Gig,1,1,33942,60,12.44,762.59,2137,0.06,17489.72,Electric,New,0,0,35617,21370,0.953,0.818,0,0.18,0.467,0.18,39.39,1,0,0,60,15,1.198,Credit Union,Dealer,2.27,0,0,0,CA,4.9,94.2,3.3,0,0
2023,22,Super Prime,842,850,100.0,12,4,0,0,0,0,1,16.0,144179,12014.92,Contract/Gig,1,1,47009,36,3.57,1378.92,12525,0.21,14857.92,SUV,Used,1,9129,59645,50732,0.788,0.293,0,0.115,0.368,0.115,28.24,0,0,0,30,9,1.049,Non-Captive Finance Co.,Dealer,1.8,0,0,0,CA,4.4,89.1,7.88,0,0
